entrez	degree	betweenness
7525	88	0.001420327592084815
351	84	0.008976532107427387
3815	94	0.0008302894760234339
23163	15	0.0007049960572110817
4074	3	0.0
1213	17	0.0007905797346973589
9135	15	0.00010144901756380418
57617	8	6.039452499327283e-05
55823	10	0.0006642074131591875
26088	13	0.0005533172819736013
23062	12	0.00019636659637386954
163	17	0.00022348069589271487
164	19	0.00026253566264774537
9146	17	0.0006179104951493721
377	6	1.3306168002836345e-05
23647	11	1.8899901225835854e-05
27236	14	8.702144245887274e-05
381	12	0.0004670896947952323
378	10	9.905964630315114e-05
9463	22	0.0003511134139727419
382	52	0.0029247390171774084
5879	197	0.007349440609962817
400	12	0.0009121656488539724
5880	118	0.00042966208314140493
5881	104	0.00045110343721083124
27289	24	0.00022538374086407054
8766	146	0.008131605193456742
5862	92	0.002064692338893674
11021	150	0.00565717331741043
5868	114	0.004610524271400849
5878	79	0.002291572141372882
9367	95	0.002633108822193142
388	272	0.0114234368461357
226	4	0.0
229	5	0.0004546487720631951
230	4	0.0
323	10	0.0002732564684037286
321	6	1.0160036061211342e-05
320	13	9.07206922150382e-05
9546	3	2.166852114681028e-06
322	9	0.0002482464824771126
1600	8	4.993856702744776e-05
6464	114	0.001393142034764147
9479	24	0.0002181552446131132
7535	45	0.00012157688646109128
3937	43	5.600791468328757e-05
2887	50	0.000673701816778386
8412	13	1.1785861464018748e-05
9655	11	7.06353422033757e-05
11098	4	0.00034018560958966267
7035	5	3.005367883431704e-05
260429	3	4.039396843678958e-05
10261	3	0.00023938361200181456
146722	6	2.859093996757304e-05
1404	9	5.255772581050269e-05
124599	9	0.0005876178240875636
10653	6	0.00010464521183528922
5650	4	0.00024499407646976293
56899	16	0.00011657014616933006
117157	19	2.8069424815006752e-05
372	8	0.00013936444318741296
84868	30	0.0013317316152786196
284366	1	0.0
5047	4	3.019338113777571e-05
8764	7	0.0001726447413760267
9722	3	0.00013984272872691854
695	76	0.00314979897396587
5753	16	5.408033061297813e-05
4099	19	0.0008312642616556472
3817	15	0.0003933257560367873
11326	59	0.00750022476220016
4680	14	0.0006632949504531221
5663	7	0.0003409478085438093
10053	12	0.0005030097938061734
5664	7	0.0003409478085438093
23542	17	0.00021341172765755733
3791	63	0.006075987613390985
2160	14	6.746464649041062e-05
5327	33	0.001508000625803953
4804	16	0.0005295218732118219
6768	56	0.003945297316279732
7113	24	0.0010894424006320227
132724	34	0.0013449817776953114
56649	31	0.0012103742787591399
26119	1	0.0
333	7	6.743069609808227e-07
5646	6	0.00013366285973312415
53358	18	2.6774262777553326e-05
5340	34	0.0019091831496950212
63827	31	0.0011866412161096738
9253	4	2.927626043408598e-05
10531	2	2.1944151724691816e-05
5653	13	0.000258588459910959
3416	10	0.0004061801220767672
334	20	0.0003699585642500258
2161	14	8.444279536257337e-05
2885	258	0.0176621818111445
5328	25	0.0008707965091807635
2147	34	0.000924244702934737
1360	1	0.0
54209	8	7.09958217794472e-05
340205	4	2.4566859505768042e-06
5654	22	0.0012912161752446792
176	30	0.0018657691180200497
10513	3	0.0
79836	2	0.00022735023303398886
84708	50	0.0020667397071500947
3690	31	0.0004964622185969642
3693	26	0.0005570684946041321
3695	17	0.0003368373632751014
3689	20	0.00023085287512708417
10370	2	0.0
2033	57	0.0050733721706173645
1387	49	0.004522119006764144
8202	39	0.00071574465771227
7157	68	0.007050937016276908
51147	22	0.0004978870227774385
84289	19	0.0003484872183745295
8850	9	2.022033466560037e-06
1385	21	0.002421033941497313
4605	9	0.0001481256172995565
3621	10	0.0002796018193182073
163732	1	0.0
3091	25	0.0013330555430488686
4435	2	0.0
8290	77	0.004983971111476952
4673	15	0.000210496432298745
4676	14	5.805501815160122e-05
7994	21	0.0005040965759046337
9611	20	0.0010650320390466121
9612	12	0.00011251097125303345
3622	3	1.7976005014717667e-05
7428	11	8.448423899971268e-05
8338	43	0.001099305897069595
3018	52	0.0019646962649956944
317772	23	0.0004913346742123745
4602	4	0.00021467649639528172
8349	51	0.003201460145517364
8648	47	0.0014661868474022087
23476	44	0.0011127616379101877
3663	9	7.84475460778822e-05
6595	37	0.001077222287651092
3661	8	2.3077205442479024e-05
